Depth	Clipped	PP	FN	P	TP	FP	PPV	TPR	F1	G
100	2	1792	2467	2717	250	1542	0.13950892857142858	0.09201324990798675	0.11088933244621867	0.11329902872063083
100	3	180	2613	2717	104	76	0.5777777777777777	0.03827751196172249	0.07179841215050052	0.148714141224385
100	4	39	2679	2717	38	1	0.9743589743589743	0.013986013986013986	0.027576197387518146	0.11673644779066587
100	5	15	2703	2717	14	1	0.9333333333333333	0.005152741994847258	0.010248901903367497	0.06934858226277911
